glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_hs_30m,min_diff_hs,n_cs_30m,min_diff_cs
3,180611,E,3.0,17,180611_E17_160_wavchunk6_f,180611_E17_160_wavchunk6_f,415.584875,417.7714375,60055.58488,60057.77144,28.9,2319.5945779064286,1312.5,9.604116049735602,0,0,5063.048640000001,1,613.6125300000058
3,180611,E,4.0,17,180611_E17_160_wavchunk37_f,180611_E17_160_wavchunk37_f,543.6267917,592.3402917,78783.62679,78832.34029,25.2,2207.348228081614,1218.75,6.236669523576637,0,11,683.4690399999963,1,1604.6660199999897
3,180611,E,5.0,17,180611_E17_161_wavchunk17_f,180611_E17_161_wavchunk17_f,40.74,42.29285417,95080.74,95082.29285,23.3,1581.205360189422,328.125,13.523484980613656,0,4,441.1446200000064,4,468.13644000000204
3,180611,E,0.0,19,180611_E19_08_chunk32_f,180611_E19_08_chunk32_f,217.8442292,322.4509375,47437.84423,47542.45094,29.300000000000008,2189.5915129787795,1265.625,8.021088150913936,0,0,17208.356770000002,2,694.5251399999979
3,180611,E,1.0,19,180611_E19_08_chunk32_f,180611_E19_08_chunk32_f,418.2731875,424.2210625,47638.27319,47644.22106,29.3,2483.637329514089,1265.625,8.406363617258265,0,0,17408.78573,2,494.09618000000046
3,180611,E,2.0,19,180611_E19_08_chunk32_f,180611_E19_08_chunk32_f,491.3671042,544.256375,47711.3671,47764.25638,29.3,1888.799316624372,1265.625,4.809407200484147,0,0,17407.26642,2,421.0022699999972
3,180611,E,0.0,21,180611_E21_08_chunk7_f,180611_E21_08_chunk7_f,139.3186667,142.945625,32359.31867,32362.94563,25.1,3287.490215412305,1218.75,10.477098578928624,0,0,2129.8312100000003,1,708.3799999999974
3,180611,E,1.0,21,180611_E21_08_chunk7_f,180611_E21_08_chunk7_f,343.2315417,454.4436875,32563.23154,32674.44369,26.6,4228.856481002609,1218.75,6.732380098959753,0,0,2333.7440800000004,1,504.46712999999727
3,180611,E,2.0,21,180611_E21_08_chunk7_f,180611_E21_08_chunk7_f,517.9340208,567.0119167,32737.93402,32787.01192,27.2,3273.2543329129203,1289.0625,8.663275807310686,0,0,2508.4465600000003,1,329.76464999999735
3,180611,E,3.0,21,180611_E21_08_chunk33_f,180611_E21_08_chunk33_f,312.369375,318.4675,48132.36937,48138.4675,29.8,2991.449591600226,820.3125,13.045013815951686,0,0,16986.264150000003,4,421.0022699999972
